permno,dlstdt,dlstcd,dlret,dlretx,dlprc,ticker,comnam
14593,2024-12-31,100,,,0.0,AAPL,APPLE INC
19561,2024-12-31,100,,,0.0,BA,BOEING CO
54893,1981-06-11,233,0.007874,0.007874,0.0,BAC,BACHE GROUP INC
58827,1998-09-30,231,0.010441,0.010441,0.0,BAC,BANKAMERICA CORP
59408,2024-12-31,100,,,0.0,BAC,BANK OF AMERICA CORP
18542,2024-12-31,100,,,0.0,CAT,CATERPILLAR INC
26403,2024-12-31,100,,,0.0,DIS,DISNEY WALT CO
22111,2024-12-31,100,,,0.0,JNJ,JOHNSON & JOHNSON
47896,2024-12-31,100,,,0.0,JPM,JPMORGAN CHASE & CO
48071,2000-12-29,231,-0.010272,-0.010272,0.0,JPM,MORGAN J P & CO INC
13407,2024-12-31,100,,,0.0,META,META PLATFORMS INC
76947,2002-04-25,584,-0.666667,-0.666667,0.1,META,METATEC INTERNATIONAL INC
10107,2024-12-31,100,,,0.0,MSFT,MICROSOFT CORP
10401,2005-11-18,231,-0.002729,-0.002729,0.0,T,A T & T CORP
66093,2024-12-31,100,,,0.0,T,A T & T INC
55976,2024-12-31,100,,,0.0,WMT,WALMART INC
11850,2024-12-31,100,,,0.0,XOM,EXXON MOBIL CORP
