date,permno,ticker,prc,ret
2021-11-01,13407,FB,329.98001,0.019810
2021-11-02,13407,FB,328.07999,-0.005758
2021-11-03,13407,FB,331.62000,0.010790
2021-11-04,13407,FB,335.85001,0.012756
2021-11-05,13407,FB,341.13000,0.015721
2021-11-08,13407,FB,338.62000,-0.007358
2021-11-09,13407,FB,335.37000,-0.009598
2021-11-10,13407,FB,327.64001,-0.023049
2021-11-11,13407,FB,327.73999,0.000305
2021-11-12,13407,FB,340.89001,0.040123
2021-11-15,13407,FB,347.56000,0.019566
2021-11-16,13407,FB,342.95999,-0.013235
2021-11-17,13407,FB,340.76999,-0.006386
2021-11-18,13407,FB,338.69000,-0.006104
2021-11-19,13407,FB,345.29999,0.019516
2021-11-22,13407,FB,341.01001,-0.012424
2021-11-23,13407,FB,337.25000,-0.011026
2021-11-24,13407,FB,341.06000,0.011297
2021-11-26,13407,FB,333.12000,-0.023280
2021-11-29,13407,FB,338.03000,0.014739
2021-11-30,13407,FB,324.45999,-0.040144
2021-12-01,13407,FB,310.60001,-0.042717
2021-12-02,13407,FB,310.39001,-0.000676
2021-12-03,13407,FB,306.84000,-0.011437
2021-12-06,13407,FB,317.87000,0.035947
2021-12-07,13407,FB,322.81000,0.015541
2021-12-08,13407,FB,330.56000,0.024008
2021-12-09,13407,FB,329.82001,-0.002239
2021-12-10,13407,FB,329.75000,-0.000212
2021-12-13,13407,FB,334.48999,0.014375
2021-12-14,13407,FB,333.73999,-0.002242
2021-12-15,13407,FB,341.66000,0.023731
2021-12-16,13407,FB,334.89999,-0.019786
2021-12-17,13407,FB,333.79001,-0.003314
2021-12-20,13407,FB,325.45001,-0.024986
2021-12-21,13407,FB,334.20001,0.026886
2021-12-22,13407,FB,330.45001,-0.011221
2021-12-23,13407,FB,335.23999,0.014495
2021-12-27,13407,FB,346.17999,0.032633
2021-12-28,13407,FB,346.22000,0.000116
2021-12-29,13407,FB,342.94000,-0.009474
2021-12-30,13407,FB,344.35999,0.004141
2021-12-31,13407,FB,336.35001,-0.023261
2022-01-03,13407,FB,338.54001,0.006511
2022-01-04,13407,FB,336.53000,-0.005937
2022-01-05,13407,FB,324.17001,-0.036728
2022-01-06,13407,FB,332.45999,0.025573
2022-01-07,13407,FB,331.79001,-0.002015
2022-01-10,13407,FB,328.07001,-0.011212
2022-01-11,13407,FB,334.37000,0.019203
2022-01-12,13407,FB,333.26001,-0.003320
2022-01-13,13407,FB,326.48001,-0.020345
2022-01-14,13407,FB,331.89999,0.016601
2022-01-18,13407,FB,318.14999,-0.041428
2022-01-19,13407,FB,319.59000,0.004526
2022-01-20,13407,FB,316.56000,-0.009481
2022-01-21,13407,FB,303.17001,-0.042298
2022-01-24,13407,FB,308.70999,0.018274
2022-01-25,13407,FB,300.14999,-0.027728
2022-01-26,13407,FB,294.63000,-0.018391
2022-01-27,13407,FB,294.64001,0.000034
2022-01-28,13407,FB,301.70999,0.023995
2022-01-31,13407,FB,313.26001,0.038282
2022-02-01,13407,FB,319.00000,0.018323
2022-02-02,13407,FB,323.00000,0.012539
2022-02-03,13407,FB,237.75999,-0.263901
2022-02-04,13407,FB,237.09000,-0.002818
2022-02-07,13407,FB,224.91000,-0.051373
2022-02-08,13407,FB,220.17999,-0.021031
2022-02-09,13407,FB,232.00000,0.053683
2022-02-10,13407,FB,228.07001,-0.016940
2022-02-11,13407,FB,219.55000,-0.037357
2022-02-14,13407,FB,217.70000,-0.008426
2022-02-15,13407,FB,221.00000,0.015159
2022-02-16,13407,FB,216.53999,-0.020181
2022-02-17,13407,FB,207.71001,-0.040778
2022-02-18,13407,FB,206.16000,-0.007462
2022-02-22,13407,FB,202.08000,-0.019791
2022-02-23,13407,FB,198.45000,-0.017963
2022-02-24,13407,FB,207.60001,0.046107
2022-02-25,13407,FB,210.48000,0.013873
2022-02-28,13407,FB,211.03000,0.002613
