Date,Yahoo_Volume,CRSP_Volume,Compustat_Volume,Match_Yahoo_CRSP,Percent_Diff
2024-12-03,38861000,38526112,38667960,False,0.86
2024-12-04,44383900,44103177,44329040,False,0.63
2024-12-05,40033900,39779677,37382020,False,0.64
2024-12-06,36870600,36351719,35846660,False,1.41
2024-12-09,44649200,44269321,44555320,False,0.85
2024-12-10,36914800,36630626,36863410,False,0.77
2024-12-11,45205800,44654509,44400100,False,1.22
2024-12-12,32777500,32519894,32551880,False,0.79
2024-12-13,33155300,33015834,33006500,False,0.42
2024-12-16,51694800,51375243,51631580,False,0.62
